Year,Country,Avg Temperature (°C),CO2 Emissions (Tons/Capita),Rainfall (mm),Population,Extreme Weather Events
2019,USA,31,4.8,2407,107364344,8
2003,USA,27.4,1.8,766,798905927,10
2021,USA,28.9,13.3,617,1019475941,6
2015,USA,10.6,14.9,2003,52552633,10
2006,USA,14.8,9.6,2914,772375173,11
2007,USA,27.5,5.8,2539,330887513,14
2008,USA,19.5,17.7,1419,1140062010,0
2006,USA,28.5,1.4,2158,411773643,10
2023,USA,6.2,18.6,1806,487618104,8
2000,USA,9.9,3.7,2067,739358801,7
2022,USA,17.6,12.1,2800,787469860,2
2000,USA,28,17.8,518,161376204,8
2002,USA,5.9,3.5,2493,1167300328,9
2009,USA,16.5,10.9,2064,1293640510,2
2016,USA,34.6,5,2670,1041486581,13
2022,USA,14.7,7.8,2214,660650168,11
2016,USA,26.9,3.8,2313,722640614,12
2015,USA,29.9,16.7,805,708549477,6
2001,USA,24.5,19.4,2041,214534006,10
2019,USA,27.8,14.7,1637,648823762,0
2023,USA,20,17.9,2284,1310548957,14
2003,USA,12.4,0.6,2780,866033515,11
2007,USA,16.8,6.3,1062,41988408,1
2015,USA,26.5,5.5,938,1377728769,13
2015,USA,16.4,17.5,1700,93560788,6
2003,USA,19.4,12.8,2134,536356608,3
2002,USA,17,0.5,1184,84528761,14
2022,USA,10.5,16.5,2444,267009905,2
2007,USA,16.2,13.9,1681,1078493355,8
2015,USA,28.8,0.6,2382,204172325,8
2004,USA,29.3,17.3,1870,1377931241,13
2020,USA,21.1,11.2,2648,320264723,0
2009,USA,5.5,6.4,2026,474288233,2
2015,USA,18.7,2.1,1222,977078792,2
2021,USA,24,18.8,2157,1169884055,7
2012,USA,11.8,15.5,2626,56245653,14
2022,USA,13.4,7.7,566,1049605777,8
2022,USA,9.9,13.1,1489,688166625,13
2019,USA,33.6,5.7,1629,1356634360,14
2023,USA,23.6,11.2,731,1196150514,4
2000,USA,11.9,18.8,2681,297043004,6
2012,USA,19.4,15.7,1187,918159557,10
2006,USA,23.9,19,1835,1146873886,9
2003,USA,9.5,5,2254,786397155,0
2023,USA,33.3,9.4,882,589637290,6
2022,USA,29.3,11.4,2756,1339427830,9
2013,USA,20.3,14.8,886,202353097,12
2018,USA,18.9,14.1,1472,922097331,6
2004,USA,28.5,8.2,851,1001119882,7
2006,USA,32,17.2,578,1109563889,5
2006,USA,23.5,19.8,2853,629814899,12
2009,USA,14.6,8.9,715,643338166,4
2011,USA,31.3,12.9,728,310976210,6
2020,USA,13.3,1.4,1418,1199856255,5
2015,USA,8.7,4.2,1339,172575234,3
2020,USA,8.1,11.1,2659,1072790036,8
2012,USA,26.1,7.9,621,857993113,0
2023,USA,11.3,3,2456,420542436,2
2000,USA,12.1,9.3,2051,1380798693,14
2003,USA,11.8,14.4,2090,1373223501,10
2002,USA,13.3,1.9,2132,927083911,5
2011,USA,30.3,12.7,1116,814540393,9
2020,USA,14.5,18.7,2673,515313114,12
2003,USA,15.2,14.2,2821,788823352,4
2000,USA,15.3,15.6,1496,884137537,10
2016,USA,16.9,18.8,653,818022751,4
2022,USA,25.6,10.1,1119,299488478,9
2009,USA,5.9,15.8,1663,703726244,2
2005,USA,27.1,12,622,1152039496,13
2023,USA,12.6,1.1,1594,572998076,0
2004,USA,8.2,14.4,2631,1105460942,3
2023,USA,6.8,17.5,971,762718291,2
2014,USA,5.5,10.7,1015,560097732,2
