Year,Country,Disaster Subroup,Disaster Type,Total Events,Total Affected,Total Deaths,"Total Damage (USD, adjusted)"
#date +occurred,#country +name,#cause +subgroup,#cause +type,#frequency,#affected +ind,#affected +ind +killed,#value +usd
2000,United States of America,Climatological,Drought,2,,,2056546170
2000,United States of America,Climatological,Wildfire,7,36087,14,4673968568
2000,United States of America,Geophysical,Earthquake,1,25174,,93479371
2000,United States of America,Hydrological,Flood,2,2300,3,
2000,United States of America,Hydrological,Flood,3,840,2,186958743
2000,United States of America,Hydrological,Flood,3,506,3,347743261
2000,United States of America,Meteorological,Extreme temperature,1,,35,
2000,United States of America,Meteorological,Storm,2,34,57,
2000,United States of America,Meteorological,Storm,1,,,
2000,United States of America,Meteorological,Storm,2,75,16,1589149313
2000,United States of America,Meteorological,Storm,6,5612,30,1470617470
2000,United States of America,Meteorological,Storm,1,17433,2,409439647
2001,United States of America,Climatological,Wildfire,3,139,2,
2001,United States of America,Geophysical,Earthquake,1,400,1,3636404280
2001,United States of America,Hydrological,Flood,1,3600,,
2001,United States of America,Hydrological,Flood,4,20200,12,60000671
2001,United States of America,Meteorological,Extreme temperature,1,,56,
2001,United States of America,Meteorological,Storm,1,100,11,
2001,United States of America,Meteorological,Storm,3,422,13,
2001,United States of America,Meteorological,Storm,12,8531,17,597824864
2001,United States of America,Meteorological,Storm,1,172000,41,10909212841
2002,United States of America,Climatological,Drought,1,,,5906389517
2002,United States of America,Climatological,Wildfire,7,6488,,415416063
2002,United States of America,Climatological,Wildfire,1,,,
2002,United States of America,Hydrological,Flood,4,147750,26,1949108541
2002,United States of America,Meteorological,Extreme temperature,1,,14,
2002,United States of America,Meteorological,Storm,4,,92,806311660
2002,United States of America,Meteorological,Storm,4,801,48,1074783911
2002,United States of America,Meteorological,Storm,5,4898,49,5233419075
2002,United States of America,Meteorological,Storm,2,13200,1,4116574512
2003,United States of America,Climatological,Wildfire,3,27894,18,6125302485
2003,United States of America,Geophysical,Earthquake,1,160,2,350017285
2003,United States of America,Hydrological,Flood,1,,18,
2003,United States of America,Hydrological,Flood,3,3200,6,215260630
2003,United States of America,Hydrological,Mass movement (wet),1,15,15,
2003,United States of America,Meteorological,Storm,4,120,74,393769445
