Entity,Code,Year,Annual CO₂ emissions
United States,USA,2000,6023158000
United States,USA,2001,5903562000
United States,USA,2002,5947819500
United States,USA,2003,6006440000
United States,USA,2004,6111545000
United States,USA,2005,6126903300
United States,USA,2006,6045326300
United States,USA,2007,6121542700
United States,USA,2008,5919221000
United States,USA,2009,5486104000
United States,USA,2010,5669250000
United States,USA,2011,5538973000
United States,USA,2012,5331467300
United States,USA,2013,5473436000
United States,USA,2014,5531385300
United States,USA,2015,5368496600
United States,USA,2016,5245361700
United States,USA,2017,5195417600
United States,USA,2018,5361236500
United States,USA,2019,5235912000
United States,USA,2020,4689954000
United States,USA,2021,5020111000
United States,USA,2022,5055403000
United States,USA,2023,4918406700
United States,USA,2024,4904120000
